id,source,short_name,title,doc_type,url,published_date,local_path,sha256,downloaded_at,status
ecb:ecb_srep202412_irrbbcsrbbsrepmethodology,ecb,ecb_srep202412_irrbbcsrbbsrepmethodology,SREP methodology for Interest rate and credit spread risk in the banking book,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_IRRBBCSRBBsrepmethodology.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_irrbbcsrbbsrepmethodology.html,9a2527c91bc2c956492cc1ed4f95e2b9b0565234570ec730770e2c6e40aa2784,2026-04-24T22:26:34.587513+00:00,ok
ecb:ecb_srep202412_aggregatedresults2024,ecb,ecb_srep202412_aggregatedresults2024,Aggregated results of the 2024 SREP,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_aggregatedresults2024.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_aggregatedresults2024.html,426d2c83e9a2ba97042c47455a36f667eb4d4894079af17d129cff9be0c1294f,2026-04-24T22:26:36.146113+00:00,ok
ecb:ecb_srep202412_operationalandictriskmethodology,ecb,ecb_srep202412_operationalandictriskmethodology,Operational & ICT risk SREP methodology,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_operationalandictriskmethodology.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_operationalandictriskmethodology.html,8156c6a39f02776606f02d099072dbffde1822243a75555b132e4d2088ff7200,2026-04-24T22:26:37.606456+00:00,ok
ecb:ecb_srep202412_supervisorymethodology2024,ecb,ecb_srep202412_supervisorymethodology2024,Supervisory methodology 2024,publication,https://www.bankingsupervision.europa.eu/activities/srep/2024/html/ssm.srep202412_supervisorymethodology2024.en.html,2024-12-17,docs/guidance/ecb/ecb_srep202412_supervisorymethodology2024.html,01bf68c38025d9f1e0ce556b2be542bec13fac348de4da182e0cc38ab7a7cf4e,2026-04-24T22:26:39.124735+00:00,ok
ecb:ecb_lsireport2024_b8dd7cda4f,ecb,ecb_lsireport2024_b8dd7cda4f,LSI supervision report 2024,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/LSIreport/ssm.LSIreport2024~b8dd7cda4f.en.pdf,2024-12-13,docs/guidance/ecb/ecb_lsireport2024_b8dd7cda4f.pdf,3bf0a26f459b6925f6d7999fc421e165b0c927b7ea266d4e80760a4b9ca5c8cb,2026-04-24T22:26:40.685960+00:00,ok
ecb:ecb_aborreview202411_c45bf4bd33,ecb,ecb_aborreview202411_c45bf4bd33,Administrative Board of Review - Ten years of experience reviewing ECB supervisory decisions,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.aborreview202411~c45bf4bd33.en.pdf,2024-11-18,docs/guidance/ecb/ecb_aborreview202411_c45bf4bd33.pdf,abbf6c6a279bf1bc082ad65e4145a41e6b05979eaf990179f12b3d301cd83775,2026-04-24T22:26:42.091242+00:00,ok
ecb:ecb_sound_practices_for_managing_intraday_liquidity_risk_202411,ecb,ecb_sound_practices_for_managing_intraday_liquidity_risk_202411,Sound practices for managing intraday liquidity risk,publication,https://www.bankingsupervision.europa.eu/ecb/pub/pdf/ssm.Sound_practices_for_managing_intraday_liquidity_risk_202411~aec6d34ffa.en.pdf,2024-11-13,docs/guidance/ecb/ecb_sound_practices_for_managing_intraday_liquidity_risk_202411.pdf,b943a1325cc076333a64acbc108455d5eea769688d2e4e09471086a7fbb64598,2026-04-24T22:26:43.611397+00:00,ok
ecb:ecb_pubcon241108_guide_tc,ecb,ecb_pubcon241108_guide_tc,Public consultation on revisions to the ECB Guide on options and discretions available in Union law - with revisions marked,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon241108_guide_tc.en.pdf,2024-11-08,docs/guidance/ecb/ecb_pubcon241108_guide_tc.pdf,6f7bea6e8c65093c6a67a5e7547e76ea12f2fb0f1695e3da9be188fd035ee15e,2026-04-24T22:26:45.211315+00:00,ok
ecb:ecb_pubcon241108_memorandum,ecb,ecb_pubcon241108_memorandum,Review of options and discretions - Explanatory memorandum,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon241108_memorandum.en.pdf,2024-11-08,docs/guidance/ecb/ecb_pubcon241108_memorandum.pdf,2ee2b61faecdc48617a990e7813b04081cbe7af61bd683f421a335ecf8e66f40,2026-04-24T22:26:46.650324+00:00,ok
ecb:ecb_pubcon241108_guide,ecb,ecb_pubcon241108_guide,Public consultation on revisions to the ECB Guide on options and discretions available in Union law,publication,https://www.bankingsupervision.europa.eu/legalframework/publiccons/pdf/ssm.pubcon241108_guide.en.pdf,2024-11-08,docs/guidance/ecb/ecb_pubcon241108_guide.pdf,fc5dbc57d76ffeb5d46dd48ea6c100d7c00fc6d72e625d97f22c6e693b3468ea,2026-04-24T22:26:48.198290+00:00,ok
